start,end,"duration [rev]",description,"CCD row",origin
1649.117041,1649.133707,0.016667,Payload data handling unit anomaly,6,AGIS
1649.117041,1649.133707,0.016667,Payload data handling unit anomaly,7,AGIS
1649.650374,1649.672596,0.022222,Payload data handling unit anomaly,4,AGIS
1649.650374,1649.672596,0.022222,Payload data handling unit anomaly,5,AGIS
1649.650374,1649.672596,0.022222,Payload data handling unit anomaly,6,AGIS
1649.650374,1649.672596,0.022222,Payload data handling unit anomaly,7,AGIS
1650.165652,1650.183707,0.018056,Payload data handling unit anomaly,4,AGIS
1650.165652,1650.183707,0.018056,Payload data handling unit anomaly,5,AGIS
1650.165652,1650.183707,0.018056,Payload data handling unit anomaly,6,AGIS
1650.165652,1650.183707,0.018056,Payload data handling unit anomaly,7,AGIS
1650.205930,1650.221207,0.015278,Payload data handling unit anomaly,4,AGIS
1650.205930,1650.221207,0.015278,Payload data handling unit anomaly,5,AGIS
1650.205930,1650.221207,0.015278,Payload data handling unit anomaly,6,AGIS
1650.205930,1650.221207,0.015278,Payload data handling unit anomaly,7,AGIS
1651.166480,1651.198275,0.031795,Payload data handling unit anomaly,4,ObjectLog
1651.167091,1651.195090,0.027999,Payload data handling unit anomaly,5,ObjectLog
1651.167701,1651.191630,0.023929,Payload data handling unit anomaly,7,ObjectLog
1651.168184,1651.185593,0.017410,Payload data handling unit anomaly,6,ObjectLog
1651.182868,1651.188403,0.005535,Payload data handling unit anomaly,6,ObjectLog
1651.185681,1651.192688,0.007007,Payload data handling unit anomaly,6,ObjectLog
1651.188900,1651.191901,0.003000,Payload data handling unit anomaly,7,ObjectLog
1651.189169,1651.192181,0.003012,Payload data handling unit anomaly,7,ObjectLog
1651.189263,1651.835096,0.645833,Payload data handling unit update,4,AGIS
1651.189263,1651.835096,0.645833,Payload data handling unit update,5,AGIS
1651.189263,1651.835096,0.645833,Payload data handling unit update,6,AGIS
1651.189263,1651.835096,0.645833,Payload data handling unit update,7,AGIS
1651.189458,1651.192855,0.003398,Payload data handling unit update,7,ObjectLog
1651.189957,1651.192960,0.003003,Payload data handling unit update,6,ObjectLog
1651.190127,1651.194085,0.003958,Payload data handling unit update,7,ObjectLog
1651.190237,1651.195235,0.004998,Payload data handling unit update,6,ObjectLog
1651.191315,1651.194311,0.002996,Payload data handling unit update,4,ObjectLog
1651.191362,1651.195161,0.003799,Payload data handling unit update,7,ObjectLog
1651.191581,1651.195582,0.004001,Payload data handling unit update,4,ObjectLog
1651.192367,1651.195299,0.002932,Payload data handling unit update,5,ObjectLog
1651.192451,1651.195437,0.002986,Payload data handling unit update,7,ObjectLog
1651.192522,1651.195457,0.002935,Payload data handling unit update,6,ObjectLog
